young_player,role_comp,cosine_similarity,euclidean_distance
Jonathan Kuminga,Fred VanVleet,-0.6362,0.681
Ousmane Dieng,Nickeil Alexander-Walker,0.7822,0.255
Ousmane Dieng,P.J. Washington,0.627,0.32
Ousmane Dieng,Fred VanVleet,0.4633,0.4057
Ousmane Dieng,Dillon Brooks,0.4624,0.3511
Ousmane Dieng,Caris LeVert,0.267,0.4219
Ousmane Dieng,Aaron Gordon,0.2161,0.4048
Ousmane Dieng,Dennis Schröder,0.1254,0.6123
Ousmane Dieng,Malik Monk,0.0869,0.519
Ousmane Dieng,Ty Jerome,0.0285,0.5295
Ousmane Dieng,Cameron Johnson,0.0239,0.6339
Ousmane Dieng,Mikal Bridges,0.0196,0.5468
Ousmane Dieng,Jerami Grant,0.0171,0.4991
Ousmane Dieng,Khris Middleton,-0.1499,0.6415
Ousmane Dieng,Miles Bridges,-0.1847,0.4623
Ousmane Dieng,Jordan Clarkson,-0.3583,0.6153
Ousmane Dieng,Michael Porter Jr.,-0.3743,0.6678
Ousmane Dieng,Tobias Harris,-0.4077,0.5733
Ousmane Dieng,CJ McCollum,-0.5193,0.6674
Ousmane Dieng,John Collins,-0.5868,0.726
Shaedon Sharpe,CJ McCollum,0.7026,0.2692
Shaedon Sharpe,Jordan Clarkson,0.6709,0.2632
Shaedon Sharpe,Malik Monk,0.5449,0.3155
Shaedon Sharpe,Dennis Schröder,0.5268,0.4471
Shaedon Sharpe,Khris Middleton,0.4997,0.3919
Shaedon Sharpe,Fred VanVleet,0.257,0.3963
Shaedon Sharpe,Caris LeVert,0.1575,0.337
Shaedon Sharpe,Michael Porter Jr.,-0.0194,0.4719
Shaedon Sharpe,Nickeil Alexander-Walker,-0.0639,0.3307
Shaedon Sharpe,Dillon Brooks,-0.0698,0.3289
Shaedon Sharpe,Aaron Gordon,-0.1559,0.3314
Shaedon Sharpe,Miles Bridges,-0.1971,0.3125
Shaedon Sharpe,Tobias Harris,-0.3067,0.4123
Shaedon Sharpe,John Collins,-0.3472,0.54
Shaedon Sharpe,Jerami Grant,-0.3752,0.4471
Shaedon Sharpe,Ty Jerome,-0.3849,0.4952
Shaedon Sharpe,Cameron Johnson,-0.4779,0.6423
Shaedon Sharpe,P.J. Washington,-0.5702,0.5004
Shaedon Sharpe,Mikal Bridges,-0.8012,0.5801
